steamId,releaseDate,year,month,firstTimeStamp,firstSales,monthlySalesGrowth
440,2007-10-10,2015,6,2015-06-02 15:00:00,34160283,823256
440,2007-10-10,2015,7,2015-07-02 15:00:00,34967348,807065
440,2007-10-10,2015,8,2015-08-02 15:00:00,35650571,683223
440,2007-10-10,2015,9,2015-09-02 15:00:00,36216921,566350
440,2007-10-10,2015,10,2015-10-02 15:00:00,36872266,655345
440,2007-10-10,2015,11,2015-11-02 16:00:00,37611030,738764
440,2007-10-10,2015,12,2015-12-02 16:00:00,38728719,1117689
440,2007-10-10,2016,1,2016-01-02 16:00:00,39599689,870970
440,2007-10-10,2016,2,2016-02-02 16:00:00,40303713,704024
440,2007-10-10,2016,3,2016-03-02 16:00:00,41053199,749486
440,2007-10-10,2016,4,2016-04-02 15:00:00,41662867,609668
440,2007-10-10,2016,5,2016-05-02 15:00:00,42276503,613636
440,2007-10-10,2016,6,2016-06-02 15:00:00,43088607,812104
440,2007-10-10,2016,7,2016-07-02 15:00:00,44039672,951065
440,2007-10-10,2016,8,2016-08-02 15:00:00,44668426,628754
440,2007-10-10,2016,9,2016-09-02 15:00:00,45129376,460950
440,2007-10-10,2016,10,2016-10-02 15:00:00,45623673,494297
440,2007-10-10,2016,11,2016-11-02 15:00:00,47192447,1568774
440,2007-10-10,2016,12,2016-12-02 16:00:00,47941183,748736
440,2007-10-10,2017,1,2017-01-02 16:00:00,48636093,694910
440,2007-10-10,2017,2,2017-02-02 16:00:00,49217669,581576
440,2007-10-10,2017,3,2017-03-02 16:00:00,49784234,566565
440,2007-10-10,2017,4,2017-04-02 15:00:00,50350369,566135
440,2007-10-10,2017,5,2017-05-02 15:00:00,50916934,566565
440,2007-10-10,2017,6,2017-06-02 15:00:00,51665134,748200
440,2007-10-10,2017,7,2017-07-02 15:00:00,52583710,918576
440,2007-10-10,2017,8,2017-08-02 15:00:00,53155421,571711
440,2007-10-10,2017,9,2017-09-02 15:00:00,53630096,474675
440,2007-10-10,2017,10,2017-10-02 15:00:00,54314606,684510
440,2007-10-10,2017,11,2017-11-02 15:00:00,55600741,1286135
440,2007-10-10,2017,12,2017-12-02 16:00:00,56308733,707992
440,2007-10-10,2018,1,2018-01-02 16:00:00,56869614,560881
440,2007-10-10,2018,2,2018-02-02 16:00:00,57371095,501481
440,2007-10-10,2018,3,2018-03-02 16:00:00,57845984,474889
440,2007-10-10,2018,4,2018-04-02 15:00:00,58250750,404766
440,2007-10-10,2018,5,2018-05-02 15:00:00,58661948,411198
440,2007-10-10,2018,6,2018-06-02 15:00:00,59103491,441543
440,2007-10-10,2018,7,2018-07-02 15:00:00,59543212,439721
440,2007-10-10,2018,8,2018-08-02 15:00:00,59947870,404658
440,2007-10-10,2018,9,2018-09-02 15:00:00,60282726,334856
440,2007-10-10,2018,10,2018-10-02 15:00:00,60628519,345793
440,2007-10-10,2018,11,2018-11-02 15:00:00,61638986,1010467
440,2007-10-10,2018,12,2018-12-02 16:00:00,62094682,455696
